desc_distrito_local,desc_epigrafe,count_2015,count_2018,diff_perc,diff
ARGANZUELA,CENTROS DE FOTODEPILACION,11,21,90.9090909090909,10
ARGANZUELA,CENTROS DE JUEGOS O CELEBRACIONES INFANTILES CON COCINA,6,4,-33.33333333333333,-2
ARGANZUELA,CENTROS DE JUEGOS O CELEBRACIONES INFANTILES SIN COCINA,1,6,500,5
ARGANZUELA,CENTROS DE TATUAJE Y/O ANILLADO,3,6,100,3
ARGANZUELA,CENTROS PRIVADOS CONCERTADOS EDUC INFANTIL Y EDUC PRIMARIA,5,2,-60,-3
ARGANZUELA,CENTROS PUBLICOS DE EDUCACION PRIMARIA,3,4,33.33333333333333,1
ARGANZUELA,CHOCOLATERIA/SALON DE TE Y HELADERIA,3,4,33.33333333333333,1
ARGANZUELA,CLINICA VETERINARIA CON TRATAMIENTO HIGIENICO,17,16,-5.88235294117647,-1
ARGANZUELA,CLINICA VETERINARIA SIN TRATAMIENTO HIGIENICO,3,4,33.33333333333333,1
ARGANZUELA,CLINICAS MEDICAS,29,35,20.689655172413794,6
ARGANZUELA,COMERCIO AL MAYOR CON ALMACEN,4,4,0,0
ARGANZUELA,"COMERCIO AL POR MAYOR CARNES Y DERIVADOS, AVES Y CAZA",1,1,0,0
ARGANZUELA,COMERCIO AL POR MAYOR DE APARATOS ELECTRODOMESTICOS,2,2,0,0
ARGANZUELA,"COMERCIO AL POR MAYOR DE AZUCAR, CHOCOLATE Y CONFITERIA",1,1,0,0
ARGANZUELA,COMERCIO AL POR MAYOR DE BEBIDAS,1,1,0,0
ARGANZUELA,"COMERCIO AL POR MAYOR DE CAFE, TE, CACAO Y ESPECIAS",1,1,0,0
ARGANZUELA,"COMERCIO AL POR MAYOR DE COMBUSTIBLES, QUIMICOS Y PRODUCTOS SEMIELABORADOS",3,3,0,0
ARGANZUELA,COMERCIO AL POR MAYOR DE ENVASES Y EMBALAJES,1,1,0,0
ARGANZUELA,COMERCIO AL POR MAYOR DE INSTRUMENTOS MEDICOS Y ORTOPEDICOS,2,2,0,0
